,Geoid,Year,Eviction ID,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Tract,tract_year
198,6075017000,2014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17000,170002014
199,6075017000,2016,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17000,170002016
200,6075017000,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17000,170002017
201,6075017101,2012,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17101,171012012
202,6075017101,2013,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17101,171012013
203,6075017101,2014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17101,171012014
204,6075017101,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17101,171012016
205,6075017101,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17101,171012017
206,6075017101,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17101,171012018
207,6075017102,2012,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17102,171022012
208,6075017102,2014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17102,171022014
209,6075017102,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17102,171022015
210,6075017102,2016,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17102,171022016
211,6075017102,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17102,171022018
212,6075017601,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17601,176012013
213,6075017601,2018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17601,176012018
214,6075017700,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17700,177002017
215,6075017802,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17802,178022014
216,6075017802,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17802,178022015
217,6075018000,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18000,180002015
218,6075020100,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20100,201002017
219,6075020200,2011,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20200,202002011
220,6075020200,2012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20200,202002012
221,6075020200,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20200,202002013
222,6075020200,2015,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20200,202002015
223,6075020200,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20200,202002016
